time,screen
12,4.183333333333334
13,3.5
14,3.0166666666666666
15,3.1666666666666665
20,2.8666666666666667
21,3.45
22,3.0
23,5.766666666666667
0,3.4833333333333334
9,3.4
11,4.8
16,4.083333333333333
17,4.666666666666667
18,4.383333333333334
19,3.683333333333333
1,2.4166666666666665
2,0.35
3,0.48333333333333334
4,3.5
7,1.4166666666666667
10,6.3
8,3.683333333333333
6,1.7666666666666666
