time,screen
12,7.9
13,2.783333333333333
14,6.1
15,4.933333333333334
20,1.4833333333333334
21,2.6166666666666667
22,4.5
23,2.95
0,8.2
9,3.9166666666666665
11,10.35
16,14.483333333333333
17,3.4833333333333334
18,7.15
19,5.3
1,1.0166666666666666
2,0.23333333333333334
3,0.48333333333333334
4,3.5
7,1.35
10,3.033333333333333
8,6.283333333333333
6,2.0166666666666666
12,4.2
13,3.5
14,3.0166666666666666
15,3.1666666666666665
20,2.8666666666666667
21,3.45
22,3.0
23,5.766666666666667
0,3.4833333333333334
9,3.4
11,4.8
16,7.783333333333333
17,4.666666666666667
18,4.383333333333334
19,3.683333333333333
1,2.4166666666666665
2,0.35
3,0.48333333333333334
4,3.5
7,1.4166666666666667
10,6.3
8,3.683333333333333
6,1.7666666666666666
