date,screen
1-7-18,2.683333333333333
1-8-18,6.2
1-9-18,2.033333333333333
1-10-18,6.95
1-11-18,3.4
1-12-18,3.0833333333333335
1-13-18,6.166666666666667
1-14-18,3.0833333333333335
1-15-18,4.8
1-16-18,7.516666666666667
1-17-18,1.2666666666666666
1-18-18,2.2333333333333334
1-19-18,5.083333333333333
1-20-18,3.6333333333333333
1-21-18,3.9166666666666665
1-22-18,5.383333333333334
1-23-18,5.616666666666666
1-24-18,4.533333333333333
1-25-18,2.85
1-26-18,4.45
1-27-18,4.35
1-28-18,4.1
1-29-18,5.4
1-30-18,5.083333333333333
1-31-18,7.433333333333334
2-1-18,2.95
2-2-18,2.783333333333333
2-3-18,3.966666666666667
2-4-18,2.0833333333333335
2-5-18,4.0
2-6-18,3.95
2-7-18,3.75
2-8-18,3.816666666666667
2-9-18,3.4833333333333334
